state,abbr,premDeath,poorHealth,poorPhyHealth,poorMenHealth,lowBWeight,smoking,obesity,inactivity,excessDrinking,drivingDeaths,std,teenBirths,uninsured,primaryCare,dentists,hospitalStays,diabetes,mamScreening,HSgraduation,college,unemployment,childrenPoverty,singleParent,crime
Nebraska,NE,13,7,4,3,15,16,29,28,34,26,8,20,13,33,18,29,20,29,4,5,2,15,5,19
Nevada,NV,29,39,38,35,24,39,14,20,34,26,20,39,49,49,33,17,48,49,50,48,51,27,35,50
New Hampshire,NH,2,1,12,20,8,16,20,13,31,45,1,1,13,5,14,15,5,2,6,14,4,1,4,3
New Jersey,NJ,7,28,18,20,29,4,10,28,17,48,9,5,21,11,5,34,40,38,17,21,37,3,10,22
New Mexico,NM,41,39,44,35,34,26,5,9,9,11,46,49,48,30,34,12,50,47,49,41,18,48,47,45
New York,NY,8,28,24,31,24,16,10,28,23,50,43,7,16,13,6,31,20,26,35,23,27,30,35,28
North Carolina,NC,35,41,31,31,40,36,29,28,7,16,34,37,35,35,41,26,8,14,25,30,46,36,39,30
North Dakota,ND,20,7,1,1,4,26,36,37,50,16,19,10,7,21,28,20,15,10,10,2,1,3,3,6
Ohio,OH,34,28,31,44,34,39,36,40,31,39,32,26,16,25,30,43,36,36,31,32,29,34,35,25
Oklahoma,OK,46,43,47,47,24,49,43,46,9,11,24,46,46,45,32,46,48,50,31,42,8,34,29,40
Oregon,OR,17,22,38,14,2,9,14,2,17,33,12,19,37,7,10,3,15,22,47,20,38,30,15,12
Pennsylvania,PA,28,22,24,35,29,36,29,37,23,33,21,11,10,18,23,35,31,19,17,34,23,18,27,27
Rhode Island,RI,15,14,24,34,20,9,14,28,34,48,14,9,16,6,22,37,31,7,35,27,49,27,39,11
South Carolina,SC,42,33,31,35,47,36,40,42,9,6,47,40,37,38,44,25,20,15,42,40,44,45,47,48
South Dakota,SD,23,1,2,2,8,16,36,37,34,13,28,26,16,23,31,28,31,12,17,15,3,18,15,7
Tennessee,TN,44,43,47,20,44,43,43,44,2,13,36,42,27,30,42,47,15,35,10,46,35,40,39,48
Texas,TX,27,41,38,20,29,16,29,28,17,22,40,49,51,48,43,38,40,43,10,43,23,40,29,36
Utah,UT,11,14,20,14,11,1,10,2,1,39,5,14,27,50,12,2,31,45,37,9,11,9,1,5
Vermont,VT,4,1,12,20,4,9,5,6,34,33,3,2,4,2,20,7,5,6,6,26,5,9,15,2
Virginia,VA,21,22,12,11,27,16,24,20,17,39,25,14,21,26,25,17,15,25,4,14,8,9,15,9
Washington,WA,9,22,31,20,3,4,20,6,23,45,11,13,24,13,9,5,15,25,35,8,35,18,13,23
West Virginia,WV,47,50,51,51,45,50,47,50,2,11,4,36,27,22,47,50,36,44,31,51,25,39,15,21
Wisconsin,WI,12,7,12,10,14,26,29,15,51,33,31,11,7,16,24,12,1,5,4,25,20,15,15,13
Wyoming,WY,38,7,12,14,36,34,14,20,23,2,22,35,27,37,36,17,49,46,25,22,7,9,5,4
